id,first_tu,worlds,note
0,0,75,at or before the oldest sample
1,0,75,at or before the oldest sample
2,0,75,at or before the oldest sample
3,0,75,at or before the oldest sample
4,0,75,at or before the oldest sample
5,5,64,
6,72,2,
7,0,75,at or before the oldest sample
8,0,75,at or before the oldest sample
9,0,75,at or before the oldest sample
10,0,75,at or before the oldest sample
11,0,75,at or before the oldest sample
12,0,75,at or before the oldest sample
13,0,75,at or before the oldest sample
14,0,75,at or before the oldest sample
15,0,75,at or before the oldest sample
16,0,75,at or before the oldest sample
17,0,75,at or before the oldest sample
18,0,75,at or before the oldest sample
19,60,2,
21,0,75,at or before the oldest sample
22,55,2,
23,58,3,
24,0,72,at or before the oldest sample
26,54,3,
29,58,3,
30,5,59,
31,0,75,at or before the oldest sample
32,1,47,
35,15,12,
37,0,75,at or before the oldest sample
38,0,74,at or before the oldest sample
39,0,75,at or before the oldest sample
40,0,75,at or before the oldest sample
41,60,2,
43,8,42,
44,7,45,
46,15,5,
47,7,40,
48,0,75,at or before the oldest sample
49,0,75,at or before the oldest sample
50,5,62,
51,0,75,at or before the oldest sample
52,0,75,at or before the oldest sample
53,17,11,
54,0,75,at or before the oldest sample
55,58,3,
56,0,75,at or before the oldest sample
58,15,15,
59,8,16,
60,8,22,
61,15,10,
64,7,46,
65,7,52,
66,5,46,
67,8,46,
68,54,1,
69,55,4,
70,15,5,
71,7,42,
72,8,13,
73,0,75,at or before the oldest sample
74,1,1,
76,54,3,
77,7,41,
78,0,65,at or before the oldest sample
79,0,48,at or before the oldest sample
80,54,5,
81,1,43,
82,2,73,
83,0,73,at or before the oldest sample
85,5,63,
86,0,38,at or before the oldest sample
87,0,75,at or before the oldest sample
88,0,71,at or before the oldest sample
89,0,75,at or before the oldest sample
93,58,3,
95,46,23,
96,54,3,
97,7,64,
98,7,46,
99,32,28,
100,27,31,
101,7,49,
102,8,25,
103,38,10,
104,55,1,
105,55,1,
106,6,60,
109,8,35,
110,9,21,
111,8,50,
112,8,56,
113,8,55,
114,8,28,
115,8,62,
117,46,13,
118,20,6,
120,8,35,
121,7,68,
123,70,1,
125,75,1,
126,54,6,
127,12,17,
128,15,11,
129,14,55,
130,46,17,
131,58,3,
132,58,3,
134,20,10,
135,55,3,
136,71,2,
137,75,1,
139,55,3,
140,20,7,
141,15,16,
142,15,15,
143,75,1,
144,46,13,
145,55,1,
153,14,61,
159,42,6,
160,75,1,
161,31,37,
162,31,37,
163,47,1,
164,55,3,
168,60,3,
169,60,2,
171,54,9,
172,42,3,
174,72,2,
175,31,44,
