camel_case,namespaced,flip_tu,observed,snake_case_would_work
Banner,minecraft:banner,54,both,yes
Bat,minecraft:bat,54,both,yes
Blaze,minecraft:blaze,54,both,yes
Cauldron,minecraft:cauldron,54,both,yes
CaveSpider,minecraft:cave_spider,54,both,yes
Chest,minecraft:chest,54,both,yes
Chicken,minecraft:chicken,54,both,yes
Cow,minecraft:cow,54,both,yes
Creeper,minecraft:creeper,54,both,yes
EnderChest,minecraft:ender_Chest,54,both,NO
EnderCrystal,minecraft:ender_crystal,54,both,yes
EnderDragon,minecraft:ender_dragon,54,both,yes
Enderman,minecraft:enderman,54,both,yes
EntityHorse,minecraft:horse,54,both,NO
FallingSand,minecraft:falling_block,54,both,NO
Furnace,minecraft:furnace,54,both,yes
Item,minecraft:item,54,both,yes
ItemFrame,minecraft:item_frame,54,both,yes
MinecartChest,minecraft:chest_minecart,54,both,NO
MobSpawner,minecraft:mob_spawner,54,both,yes
MushroomCow,minecraft:mooshroom,54,both,NO
Ozelot,minecraft:ocelot,54,both,NO
Pig,minecraft:pig,54,both,yes
Rabbit,minecraft:rabbit,54,both,yes
Sheep,minecraft:sheep,54,both,yes
Shulker,minecraft:shulker,54,both,yes
Silverfish,minecraft:silverfish,54,both,yes
Skeleton,minecraft:skeleton,54,both,yes
Skull,minecraft:skull,54,both,yes
Slime,minecraft:slime,54,old only,yes
Spider,minecraft:spider,54,both,yes
Squid,minecraft:squid,54,both,yes
Villager,minecraft:villager,54,both,yes
Witch,minecraft:witch,54,both,yes
Wolf,minecraft:wolf,54,both,yes
Zombie,minecraft:zombie,54,both,yes
